(0, 0, 0, [99, 9, 99, 1, 0])
(19, 27, 3, [5, 4, 4, 8, 3])
(19, 65, 1, [2, 2, 2, 2, 1])
(20, 30, 1, [2, 9, 9, 9, 1])
(20, 46, 2, [9, 3, 3, 9, 2])
(20, 81, 1, [2, 2, 3, 2, 1])
(20, 87, 0, [9, 9, 9, 1, 0])
(22, 18, 4, [5, 5, 7, 5, 4])
(22, 36, 2, [7, 3, 3, 4, 2])
(22, 54, 2, [3, 5, 3, 3, 2])
(22, 60, 4, [5, 5, 7, 5, 4])
(22, 75, 1, [4, 9, 9, 2, 1])
(22, 93, 2, [3, 9, 9, 9, 2])
(23, 71, 1, [2, 9, 9, 2, 1])
(23, 98, 3, [4, 4, 4, 5, 3])
(24, 3, 0, [1, 2, 3, 1, 0])
(24, 41, 2, [9, 3, 9, 3, 2])
(25, 24, 2, [3, 9, 4, 9, 2])
(25, 30, 0, [1, 1, 3, 1, 0])
(26, 11, 2, [9, 9, 9, 4, 2])
(27, 51, 0, [9, 9, 1, 9, 0])
(27, 57, 1, [9, 9, 9, 2, 1])
(27, 75, 3, [4, 8, 4, 5, 3])
(28, 62, 3, [4, 4, 6, 4, 3])
(28, 93, 0, [9, 9, 1, 9, 0])
(29, 35, 2, [9, 6, 3, 9, 2])
(29, 68, 1, [2, 9, 9, 9, 1])
(29, 97, 1, [2, 2, 2, 2, 1])
(30, 1, 0, [9, 9, 1, 9, 0])
(30, 9, 2, [9, 3, 3, 9, 2])
(30, 39, 0, [9, 9, 2, 9, 0])
(31, 16, 0, [1, 1, 1, 1, 0])
(31, 23, 0, [9, 1, 2, 1, 0])
(31, 54, 3, [4, 6, 4, 4, 3])
(31, 84, 0, [1, 1, 1, 1, 0])
(32, 44, 4, [5, 9, 5, 9, 4])
(32, 75, 0, [1, 1, 1, 3, 0])
(32, 93, 4, [8, 5, 6, 5, 4])
(33, 47, 1, [4, 2, 7, 2, 1])
(34, 59, 2, [3, 3, 5, 3, 2])
(35, 29, 0, [1, 1, 1, 1, 0])
(35, 42, 0, [9, 1, 9, 1, 0])
(36, 4, 0, [2, 2, 1, 1, 0])
(36, 38, 2, [3, 3, 3, 3, 2])
(36, 68, 0, [1, 1, 3, 1, 0])
(37, 82, 4, [5, 5, 5, 5, 4])
(38, 60, 4, [7, 6, 6, 5, 4])
(38, 93, 0, [1, 3, 1, 1, 0])
(39, 46, 4, [9, 9, 5, 9, 4])
(39, 51, 1, [2, 2, 4, 4, 1])
(39, 78, 0, [9, 1, 9, 9, 0])
(40, 10, 1, [2, 4, 6, 2, 1])
(41, 1, 1, [9, 2, 2, 3, 1])
(41, 19, 0, [1, 1, 1, 1, 0])
(41, 71, 0, [9, 1, 9, 1, 0])
(41, 80, 6, [9, 9, 8, 9, 6])
(42, 27, 0, [9, 9, 9, 1, 0])
(42, 64, 0, [1, 4, 1, 1, 0])
(42, 87, 1, [2, 2, 2, 2, 1])
(44, 57, 2, [3, 3, 3, 3, 2])
(44, 99, 0, [1, 9, 9, 99, 0])
(47, 33, 0, [3, 2, 4, 1, 0])
(48, 6, 0, [2, 3, 1, 1, 0])
(48, 15, 2, [3, 3, 5, 3, 2])
(48, 25, 0, [1, 1, 1, 3, 0])
(48, 43, 0, [1, 1, 1, 1, 0])
(48, 81, 0, [4, 1, 1, 1, 0])
(48, 94, 1, [2, 5, 3, 3, 1])
(48, 99, 3, [9, 4, 9, 99, 3])
(49, 62, 0, [1, 1, 1, 1, 0])
(50, 70, 0, [1, 8, 3, 1, 0])
(51, 53, 2, [3, 5, 3, 3, 2])
(53, 13, 0, [9, 1, 1, 9, 0])
(53, 34, 2, [3, 9, 3, 9, 2])
(53, 88, 0, [3, 1, 1, 1, 0])
(54, 10, 0, [9, 9, 1, 9, 0])
(55, 25, 0, [1, 1, 1, 1, 0])
(56, 2, 1, [2, 2, 2, 2, 1])
(56, 79, 0, [1, 1, 2, 1, 0])
(57, 39, 1, [2, 2, 2, 2, 1])
(57, 58, 4, [5, 5, 9, 9, 4])
(57, 95, 1, [2, 9, 5, 9, 1])
(58, 66, 0, [1, 1, 1, 1, 0])
(59, 19, 2, [3, 3, 3, 3, 2])
(59, 28, 4, [5, 5, 5, 5, 4])
(59, 84, 4, [9, 9, 9, 5, 4])
(59, 90, 2, [9, 9, 9, 3, 2])
(59, 97, 4, [7, 5, 5, 5, 4])
(60, 9, 0, [1, 1, 1, 1, 0])
(60, 48, 0, [1, 1, 1, 1, 0])
(60, 74, 0, [1, 1, 5, 1, 0])
(60, 93, 0, [9, 2, 1, 9, 0])
(61, 42, 1, [9, 2, 9, 9, 1])
(62, 25, 1, [9, 9, 2, 9, 1])
(63, 38, 0, [9, 1, 9, 9, 0])
(63, 62, 0, [1, 1, 1, 1, 0])
(63, 88, 3, [4, 4, 4, 4, 3])
(64, 3, 2, [9, 3, 5, 9, 2])
(64, 32, 0, [1, 9, 9, 9, 0])
(64, 56, 1, [3, 9, 5, 7, 1])
(65, 12, 0, [3, 1, 1, 1, 0])
(66, 63, 1, [2, 9, 9, 2, 1])
(66, 97, 0, [1, 4, 1, 1, 0])
(67, 28, 0, [2, 1, 9, 4, 0])
(67, 70, 0, [1, 1, 1, 1, 0])
(67, 82, 0, [1, 1, 1, 1, 0])
(68, 36, 1, [2, 2, 3, 2, 1])
(69, 0, 2, [3, 3, 99, 9, 2])
(69, 21, 1, [2, 2, 2, 4, 1])
(69, 49, 0, [9, 3, 1, 1, 0])
(70, 58, 0, [1, 1, 1, 1, 0])
(70, 91, 3, [4, 9, 9, 4, 3])
(72, 15, 0, [9, 1, 9, 1, 0])
(72, 65, 0, [9, 9, 1, 9, 0])
(73, 5, 0, [1, 1, 3, 1, 0])
(73, 84, 0, [1, 1, 1, 1, 0])
(74, 19, 5, [6, 6, 6, 6, 5])
(74, 30, 0, [9, 1, 9, 1, 0])
(74, 53, 2, [3, 3, 3, 5, 2])
(75, 64, 2, [9, 9, 3, 9, 2])
(75, 69, 2, [9, 3, 4, 3, 2])
(75, 77, 1, [2, 9, 9, 9, 1])
(75, 95, 0, [1, 9, 1, 9, 0])
(76, 42, 0, [1, 1, 1, 1, 0])
(76, 99, 3, [4, 9, 4, 99, 3])
(77, 17, 2, [9, 3, 4, 9, 2])
(78, 10, 5, [9, 6, 9, 6, 5])
(79, 88, 1, [2, 2, 2, 4, 1])
(80, 6, 0, [9, 9, 1, 9, 0])
(80, 22, 2, [3, 5, 3, 3, 2])
(80, 99, 0, [9, 1, 9, 99, 0])
(81, 51, 4, [5, 5, 5, 5, 4])
(81, 56, 4, [5, 5, 5, 9, 4])
(81, 77, 0, [1, 2, 1, 1, 0])
(81, 95, 0, [2, 1, 1, 6, 0])
(82, 0, 0, [1, 1, 99, 1, 0])
(82, 38, 1, [2, 9, 9, 9, 1])
(82, 46, 1, [9, 2, 2, 9, 1])
(83, 31, 2, [3, 9, 9, 3, 2])
(83, 63, 1, [2, 2, 2, 3, 1])
(84, 67, 3, [9, 4, 9, 4, 3])
(84, 84, 0, [9, 1, 9, 9, 0])
(85, 10, 0, [1, 2, 1, 1, 0])
(86, 3, 4, [9, 5, 5, 9, 4])
(86, 20, 0, [2, 1, 1, 9, 0])
(87, 33, 4, [7, 5, 5, 5, 4])
(87, 89, 0, [1, 9, 1, 9, 0])
(88, 39, 2, [4, 3, 3, 5, 2])
(88, 60, 3, [9, 4, 9, 9, 3])
(88, 98, 0, [1, 3, 1, 1, 0])
(89, 27, 0, [1, 3, 1, 1, 0])
(89, 53, 0, [1, 1, 3, 5, 0])
(89, 81, 1, [9, 2, 2, 9, 1])
(90, 71, 0, [3, 9, 9, 1, 0])
(91, 34, 0, [2, 1, 1, 1, 0])
(91, 47, 3, [6, 4, 4, 4, 3])
(92, 15, 1, [2, 2, 2, 2, 1])
(92, 66, 3, [4, 4, 4, 4, 3])
(92, 87, 0, [9, 9, 1, 9, 0])
(92, 91, 3, [4, 9, 9, 4, 3])
(93, 22, 1, [9, 2, 9, 9, 1])
(93, 61, 2, [9, 3, 3, 9, 2])
(93, 96, 4, [5, 5, 7, 5, 4])
(94, 0, 0, [1, 1, 99, 5, 0])
(95, 9, 1, [2, 2, 2, 2, 1])
(95, 29, 0, [9, 9, 9, 1, 0])
(95, 44, 4, [9, 9, 5, 9, 4])
(95, 83, 3, [4, 9, 4, 9, 3])
(96, 71, 0, [9, 9, 1, 9, 0])
(98, 64, 2, [9, 3, 9, 3, 2])
(98, 90, 0, [1, 3, 1, 1, 0])
(98, 98, 0, [4, 1, 1, 1, 0])
(99, 14, 1, [9, 99, 9, 2, 1])
(99, 20, 1, [9, 99, 9, 3, 1])
(99, 29, 2, [9, 99, 3, 9, 2])
(99, 37, 0, [1, 99, 1, 1, 0])
(99, 50, 0, [1, 99, 1, 1, 0])
(99, 58, 0, [4, 99, 2, 1, 0])
(99, 76, 1, [2, 99, 4, 2, 1])
