 🗙	[10, 11, 13, 16, 15] | direction [changes], status [False]
 🗙	[35, 34, 36, 35, 34, 33, 33] | direction [changes], status [False]
 🗙	[39, 37, 38, 37, 34, 32, 31, 27] | direction [changes], status [False]
 🗙	[24, 23, 24, 22, 16] | direction [changes], status [False]
 🗙	[60, 57, 57, 54, 53, 52, 50, 48] | direction [changes], status [False]
 🗙	[36, 35, 34, 33, 33, 32, 31, 34] | direction [changes], status [False]
 🗙	[76, 74, 71, 71, 71] | direction [changes], status [False]
 🗙	[32, 29, 28, 26, 23, 23, 19] | direction [changes], status [False]
 🗙	[91, 88, 86, 86, 83, 77] | direction [changes], status [False]
 🔻	[42, 41, 39, 35, 33] | direction [down], status [False]
 🗙	[27, 24, 22, 18, 19] | direction [changes], status [False]
 🗙	[19, 16, 15, 13, 10, 6, 6] | direction [changes], status [False]
 🔻	[50, 49, 45, 43, 41, 38, 34] | direction [down], status [False]
 🔻	[48, 46, 45, 41, 34] | direction [down], status [False]
 🔻	[83, 80, 78, 77, 71, 68] | direction [down], status [False]
 🗙	[46, 44, 38, 37, 39] | direction [changes], status [False]
 🗙	[39, 38, 37, 31, 29, 27, 27] | direction [changes], status [False]
 🔻	[21, 19, 18, 16, 15, 9, 5] | direction [down], status [False]
 🔻	[81, 79, 78, 71, 69, 66, 63, 56] | direction [down], status [False]
 🗙	[69, 71, 68, 67, 66, 65] | direction [changes], status [False]
 🗙	[11, 12, 11, 10, 7, 10] | direction [changes], status [False]
 🗙	[83, 84, 83, 81, 78, 77, 75, 75] | direction [changes], status [False]
 🗙	[19, 20, 18, 15, 14, 12, 11, 7] | direction [changes], status [False]
 🗙	[80, 81, 80, 77, 75, 69] | direction [changes], status [False]
 🗙	[17, 19, 20, 17, 16, 15] | direction [changes], status [False]
 🗙	[45, 48, 47, 44, 41, 44, 41, 42] | direction [changes], status [False]
 🗙	[40, 43, 41, 44, 44] | direction [changes], status [False]
 🗙	[56, 57, 59, 57, 53] | direction [changes], status [False]
 🗙	[93, 96, 99, 96, 93, 91, 88, 83] | direction [changes], status [False]
 🗙	[79, 80, 78, 75, 73, 73, 72] | direction [changes], status [False]
 🗙	[4, 7, 4, 4, 3, 4] | direction [changes], status [False]
 🗙	[65, 66, 65, 65, 62, 60, 58, 58] | direction [changes], status [False]
 🗙	[43, 45, 44, 44, 40] | direction [changes], status [False]
 🗙	[81, 83, 82, 82, 81, 76] | direction [changes], status [False]
 🗙	[92, 95, 91, 89, 88, 87] | direction [changes], status [False]
 🗙	[30, 31, 27, 24, 26] | direction [changes], status [False]
 🗙	[20, 22, 21, 18, 15, 11, 11] | direction [changes], status [False]
 🗙	[31, 32, 31, 27, 26, 24, 21, 17] | direction [changes], status [False]
 🗙	[43, 46, 45, 44, 42, 40, 36, 31] | direction [changes], status [False]
 🗙	[47, 50, 48, 47, 46, 40, 37, 36] | direction [changes], status [False]
 🗙	[23, 26, 24, 22, 16, 15, 12, 13] | direction [changes], status [False]
 🗙	[86, 88, 86, 84, 81, 80, 75, 75] | direction [changes], status [False]
 🗙	[88, 90, 88, 87, 82, 80, 76] | direction [changes], status [False]
 🗙	[83, 85, 80, 77, 75, 70] | direction [changes], status [False]
 🗙	[13, 13, 12, 10, 8, 5, 3, 1] | direction [changes], status [False]
 🗙	[48, 48, 46, 44, 41, 43] | direction [changes], status [False]
 🗙	[86, 86, 83, 81, 78, 78] | direction [changes], status [False]
 🗙	[82, 82, 81, 80, 77, 73] | direction [changes], status [False]
 🗙	[23, 23, 20, 19, 18, 16, 14, 7] | direction [changes], status [False]
 🗙	[76, 76, 75, 73, 71, 73, 71] | direction [changes], status [False]
 🗙	[41, 41, 39, 38, 35, 37, 39] | direction [changes], status [False]
 🗙	[98, 98, 96, 94, 92, 93, 93] | direction [changes], status [False]
 🗙	[49, 49, 48, 51, 47] | direction [changes], status [False]
 🗙	[79, 79, 81, 80, 77, 75, 72, 67] | direction [changes], status [False]
 🗙	[37, 37, 36, 35, 35, 32] | direction [changes], status [False]
 🗙	[18, 18, 17, 15, 15, 13, 15] | direction [changes], status [False]
 🗙	[6, 6, 6, 4, 4] | direction [changes], status [False]
 🗙	[35, 35, 34, 33, 33, 29] | direction [changes], status [False]
 🗙	[71, 71, 70, 70, 69, 67, 62] | direction [changes], status [False]
 🗙	[91, 91, 89, 85, 82, 79, 77] | direction [changes], status [False]
 🗙	[62, 62, 60, 56, 58] | direction [changes], status [False]
 🗙	[16, 16, 14, 11, 7, 7] | direction [changes], status [False]
 🗙	[88, 88, 86, 82, 78] | direction [changes], status [False]
 🗙	[88, 88, 86, 85, 81, 78, 73] | direction [changes], status [False]
 🗙	[21, 21, 19, 18, 11, 8] | direction [changes], status [False]
 🗙	[12, 12, 6, 4, 6] | direction [changes], status [False]
 🗙	[79, 79, 74, 71, 71] | direction [changes], status [False]
 🗙	[65, 65, 60, 59, 55] | direction [changes], status [False]
 🗙	[45, 45, 43, 40, 38, 33, 28] | direction [changes], status [False]
 🔻	[44, 40, 37, 36, 34, 33, 32, 31] | direction [down], status [False]
 🗙	[15, 11, 8, 7, 9] | direction [changes], status [False]
 🗙	[83, 79, 77, 74, 74] | direction [changes], status [False]
 🔻	[68, 64, 62, 60, 59, 55] | direction [down], status [False]
 🔻	[77, 73, 71, 68, 67, 64, 61, 55] | direction [down], status [False]
 🗙	[56, 52, 50, 49, 47, 49, 48] | direction [changes], status [False]
 🗙	[74, 70, 67, 70, 68, 66, 68] | direction [changes], status [False]
 🗙	[56, 52, 54, 52, 49, 47, 47] | direction [changes], status [False]
 🗙	[31, 27, 25, 26, 23, 21, 20, 16] | direction [changes], status [False]
 🗙	[89, 85, 83, 86, 81] | direction [changes], status [False]
 🗙	[38, 34, 34, 31, 28, 26, 24] | direction [changes], status [False]
 🗙	[48, 44, 43, 40, 38, 38, 40] | direction [changes], status [False]
 🗙	[23, 19, 19, 17, 16, 15, 15] | direction [changes], status [False]
 🗙	[93, 89, 88, 87, 86, 86, 82] | direction [changes], status [False]
 🗙	[91, 87, 85, 85, 82, 77] | direction [changes], status [False]
 🔻	[58, 54, 50, 48, 46, 44, 41] | direction [down], status [False]
 🗙	[90, 86, 82, 80, 77, 76, 77] | direction [changes], status [False]
 🗙	[83, 79, 77, 73, 73] | direction [changes], status [False]
 🔻	[52, 48, 47, 43, 39] | direction [down], status [False]
 🔻	[38, 34, 30, 27, 21] | direction [down], status [False]
 🔻	[98, 94, 93, 92, 85, 82] | direction [down], status [False]
 🗙	[63, 59, 53, 51, 52] | direction [changes], status [False]
 🗙	[69, 65, 63, 61, 56, 55, 55] | direction [changes], status [False]
 🔻	[84, 80, 75, 74, 70] | direction [down], status [False]
 🔻	[68, 64, 58, 55, 54, 49] | direction [down], status [False]
 🔻	[28, 23, 22, 19, 17, 16] | direction [down], status [False]
 🗙	[27, 20, 19, 16, 14, 17] | direction [changes], status [False]
 🗙	[78, 73, 72, 69, 66, 66] | direction [changes], status [False]
 🔻	[23, 18, 16, 13, 11, 8, 7, 3] | direction [down], status [False]
 🔻	[29, 22, 19, 18, 15, 12, 10, 3] | direction [down], status [False]
 🗙	[26, 21, 23, 21, 18, 15, 13, 12] | direction [changes], status [False]
 🗙	[48, 43, 44, 41, 38, 35, 36] | direction [changes], status [False]
 🗙	[20, 15, 12, 10, 7, 9, 9] | direction [changes], status [False]
 🗙	[37, 30, 28, 25, 23, 25, 21] | direction [changes], status [False]
 🗙	[24, 18, 19, 16, 14, 7] | direction [changes], status [False]
 🗙	[38, 31, 30, 30, 29, 26] | direction [changes], status [False]
 🗙	[11, 5, 5, 2, 4] | direction [changes], status [False]
 🗙	[74, 67, 64, 63, 62, 62, 60, 60] | direction [changes], status [False]
 🗙	[95, 90, 88, 87, 87, 84, 80] | direction [changes], status [False]
 🗙	[36, 29, 26, 25, 25, 22, 19, 13] | direction [changes], status [False]
 🔻	[70, 64, 60, 59, 57, 56] | direction [down], status [False]
 🗙	[93, 87, 83, 80, 78, 77, 78] | direction [changes], status [False]
 🗙	[77, 72, 68, 65, 65] | direction [changes], status [False]
 🔻	[65, 58, 54, 53, 50, 48, 44] | direction [down], status [False]
 🔻	[91, 84, 80, 77, 75, 74, 69] | direction [down], status [False]
 🔻	[84, 77, 76, 71, 69, 68] | direction [down], status [False]
 🗙	[74, 67, 65, 59, 61] | direction [changes], status [False]
 🗙	[58, 52, 50, 45, 45] | direction [changes], status [False]
 🔻	[49, 43, 41, 40, 34, 33, 31, 27] | direction [down], status [False]
 🔻	[78, 71, 70, 63, 58] | direction [down], status [False]
 🗙	[32, 33, 36, 39, 37] | direction [changes], status [False]
 🗙	[29, 30, 32, 35, 36, 37, 38, 38] | direction [changes], status [False]
 🔺	[5, 7, 9, 10, 13, 17] | direction [up], status [False]
 🔺	[36, 37, 39, 41, 42, 44, 50] | direction [up], status [False]
 🗙	[62, 64, 65, 66, 69, 68, 71] | direction [changes], status [False]
 🗙	[27, 29, 26, 29, 31, 34, 32] | direction [changes], status [False]
 🗙	[34, 37, 39, 40, 43, 41, 41] | direction [changes], status [False]
 🗙	[36, 39, 42, 43, 45, 44, 45, 49] | direction [changes], status [False]
 🗙	[78, 80, 81, 80, 82, 83, 89] | direction [changes], status [False]
 🗙	[7, 9, 12, 12, 13, 16, 18] | direction [changes], status [False]
 🗙	[32, 35, 36, 36, 38, 35] | direction [changes], status [False]
 🗙	[10, 11, 11, 13, 13] | direction [changes], status [False]
 🗙	[43, 44, 44, 46, 48, 52] | direction [changes], status [False]
 🗙	[49, 51, 53, 55, 56, 56, 63] | direction [changes], status [False]
 🔺	[14, 16, 18, 20, 24, 27, 28, 29] | direction [up], status [False]
 🗙	[64, 65, 69, 70, 72, 73, 76, 73] | direction [changes], status [False]
 🗙	[63, 66, 69, 70, 72, 76, 76] | direction [changes], status [False]
 🔺	[33, 35, 39, 40, 41, 42, 46] | direction [up], status [False]
 🔺	[13, 15, 18, 21, 25, 32] | direction [up], status [False]
 🔺	[31, 33, 35, 36, 39, 44, 47] | direction [up], status [False]
 🗙	[56, 57, 62, 65, 66, 69, 66] | direction [changes], status [False]
 🗙	[18, 21, 22, 23, 28, 28] | direction [changes], status [False]
 🔺	[67, 68, 69, 72, 78, 82] | direction [up], status [False]
 🔺	[81, 83, 84, 89, 92, 99] | direction [up], status [False]
 🗙	[54, 51, 54, 55, 57, 58] | direction [changes], status [False]
 🗙	[56, 54, 57, 59, 61, 62, 61] | direction [changes], status [False]
 🗙	[62, 61, 63, 66, 67, 68, 68] | direction [changes], status [False]
 🗙	[40, 37, 38, 40, 43, 46, 48, 52] | direction [changes], status [False]
 🗙	[37, 34, 37, 38, 39, 42, 45, 52] | direction [changes], status [False]
 🗙	[6, 4, 6, 9, 7, 8, 10] | direction [changes], status [False]
 🗙	[31, 30, 32, 31, 28] | direction [changes], status [False]
 🗙	[94, 92, 93, 96, 98, 97, 99, 99] | direction [changes], status [False]
 🗙	[70, 69, 72, 71, 75] | direction [changes], status [False]
 🗙	[18, 15, 17, 16, 23] | direction [changes], status [False]
 🗙	[75, 72, 72, 75, 78, 81] | direction [changes], status [False]
 🗙	[33, 30, 32, 32, 35, 36, 35] | direction [changes], status [False]
 🗙	[51, 50, 52, 53, 53, 53] | direction [changes], status [False]
 🗙	[53, 51, 54, 54, 58] | direction [changes], status [False]
 🗙	[37, 34, 34, 35, 38, 45] | direction [changes], status [False]
 🗙	[17, 14, 17, 21, 23, 24, 26] | direction [changes], status [False]
 🗙	[71, 69, 72, 74, 78, 80, 82, 80] | direction [changes], status [False]
 🗙	[15, 13, 17, 19, 19] | direction [changes], status [False]
 🗙	[80, 78, 80, 84, 86, 90] | direction [changes], status [False]
 🗙	[25, 22, 26, 29, 34] | direction [changes], status [False]
 🗙	[83, 82, 88, 89, 92, 95, 96] | direction [changes], status [False]
 🗙	[53, 51, 52, 53, 54, 60, 59] | direction [changes], status [False]
 🗙	[35, 34, 39, 40, 41, 41] | direction [changes], status [False]
 🗙	[65, 62, 67, 70, 73, 76, 79, 83] | direction [changes], status [False]
 🗙	[82, 80, 82, 83, 88, 91, 97] | direction [changes], status [False]
 🗙	[65, 65, 67, 69, 70, 73, 74, 75] | direction [changes], status [False]
 🗙	[22, 22, 23, 25, 27, 26] | direction [changes], status [False]
 🗙	[69, 69, 72, 75, 78, 81, 82, 82] | direction [changes], status [False]
 🗙	[40, 40, 43, 44, 46, 49, 50, 54] | direction [changes], status [False]
 🗙	[81, 81, 84, 87, 89, 96] | direction [changes], status [False]
 🗙	[4, 4, 7, 4, 7, 10] | direction [changes], status [False]
 🗙	[73, 73, 70, 73, 70] | direction [changes], status [False]
 🗙	[86, 86, 87, 86, 86] | direction [changes], status [False]
 🗙	[72, 72, 74, 73, 77] | direction [changes], status [False]
 🗙	[7, 7, 9, 10, 7, 9, 11, 16] | direction [changes], status [False]
 🗙	[54, 54, 57, 57, 58] | direction [changes], status [False]
 🗙	[53, 53, 56, 57, 59, 62, 62, 59] | direction [changes], status [False]
 🗙	[74, 74, 76, 76, 76] | direction [changes], status [False]
 🗙	[80, 80, 82, 83, 83, 86, 90] | direction [changes], status [False]
 🗙	[2, 2, 2, 4, 9] | direction [changes], status [False]
 🗙	[88, 88, 90, 93, 97, 98, 99] | direction [changes], status [False]
 🗙	[32, 32, 36, 37, 34] | direction [changes], status [False]
 🗙	[72, 72, 74, 78, 78] | direction [changes], status [False]
 🗙	[32, 32, 36, 37, 40, 41, 42, 46] | direction [changes], status [False]
 🗙	[12, 12, 15, 19, 21, 26] | direction [changes], status [False]
 🗙	[3, 3, 9, 10, 11, 13] | direction [changes], status [False]
 🗙	[23, 23, 30, 32, 30] | direction [changes], status [False]
 🗙	[58, 58, 65, 67, 69, 69] | direction [changes], status [False]
 🗙	[39, 39, 42, 43, 49, 50, 51, 55] | direction [changes], status [False]
 🗙	[9, 9, 10, 17, 19, 22, 27] | direction [changes], status [False]
 🔺	[82, 86, 89, 92, 93, 96] | direction [up], status [False]
 🗙	[34, 38, 40, 42, 44, 46, 45] | direction [changes], status [False]
 🗙	[22, 26, 28, 29, 29] | direction [changes], status [False]
 🔺	[52, 56, 59, 62, 65, 66, 70] | direction [up], status [False]
 🔺	[61, 65, 68, 71, 74, 75, 77, 83] | direction [up], status [False]
 🗙	[38, 42, 39, 41, 44, 47, 50] | direction [changes], status [False]
 🗙	[63, 67, 68, 70, 68, 71, 68] | direction [changes], status [False]
 🗙	[33, 37, 38, 36, 38, 38] | direction [changes], status [False]
 🗙	[3, 7, 10, 12, 11, 14, 18] | direction [changes], status [False]
 🗙	[21, 25, 27, 25, 27, 32] | direction [changes], status [False]
 🗙	[45, 49, 49, 50, 52, 55] | direction [changes], status [False]
 🗙	[27, 31, 33, 33, 34, 31] | direction [changes], status [False]
 🗙	[8, 12, 13, 13, 15, 17, 17] | direction [changes], status [False]
 🗙	[6, 10, 10, 11, 14, 16, 20] | direction [changes], status [False]
 🗙	[65, 69, 72, 72, 75, 76, 82] | direction [changes], status [False]
 🔺	[86, 90, 94, 96, 99] | direction [up], status [False]
 🗙	[47, 51, 55, 57, 60, 62, 59] | direction [changes], status [False]
 🗙	[63, 67, 69, 72, 74, 78, 79, 79] | direction [changes], status [False]
 🔺	[13, 17, 18, 22, 23, 27] | direction [up], status [False]
 🔺	[58, 62, 65, 66, 67, 71, 78] | direction [up], status [False]
 🔺	[66, 70, 72, 74, 76, 78, 83, 84] | direction [up], status [False]
 🗙	[27, 31, 32, 37, 40, 38] | direction [changes], status [False]
 🗙	[57, 61, 63, 68, 68] | direction [changes], status [False]
 🔺	[27, 31, 34, 36, 42, 43, 47] | direction [up], status [False]
 🔺	[38, 42, 43, 44, 46, 49, 55, 60] | direction [up], status [False]
 🔺	[4, 9, 11, 12, 14, 16] | direction [up], status [False]
 🗙	[20, 26, 27, 29, 32, 30] | direction [changes], status [False]
 🗙	[75, 81, 84, 86, 87, 90, 90] | direction [changes], status [False]
 🔺	[16, 22, 23, 26, 30] | direction [up], status [False]
 🔺	[9, 15, 16, 19, 22, 25, 28, 34] | direction [up], status [False]
 🗙	[26, 33, 32, 35, 38] | direction [changes], status [False]
 🗙	[1, 8, 10, 12, 9, 6] | direction [changes], status [False]
 🗙	[6, 12, 15, 13, 14, 16, 19, 19] | direction [changes], status [False]
 🗙	[80, 85, 88, 89, 91, 93, 90, 94] | direction [changes], status [False]
 🗙	[59, 65, 68, 69, 67, 73] | direction [changes], status [False]
 🗙	[8, 14, 16, 18, 19, 21, 21, 24] | direction [changes], status [False]
 🗙	[85, 90, 91, 92, 92, 93, 92] | direction [changes], status [False]
 🗙	[32, 38, 38, 41, 43, 46, 47, 47] | direction [changes], status [False]
 🗙	[53, 60, 61, 62, 62, 64, 67, 71] | direction [changes], status [False]
 🗙	[67, 73, 75, 78, 78, 81, 88] | direction [changes], status [False]
 🔺	[61, 67, 70, 74, 77, 78, 79, 80] | direction [up], status [False]
 🗙	[67, 74, 78, 79, 81, 80] | direction [changes], status [False]
 🗙	[24, 29, 31, 35, 38, 38] | direction [changes], status [False]
 🔺	[7, 12, 16, 19, 23] | direction [up], status [False]
 🔺	[13, 19, 20, 24, 27, 28, 29, 35] | direction [up], status [False]
 🔺	[53, 60, 63, 70, 72] | direction [up], status [False]
 🗙	[69, 75, 78, 79, 86, 88, 86] | direction [changes], status [False]
 🗙	[3, 10, 12, 13, 20, 20] | direction [changes], status [False]
 🔺	[31, 36, 39, 41, 46, 50] | direction [up], status [False]
 🔺	[64, 71, 77, 79, 82, 84, 90] | direction [up], status [False]
 🗙	[83, 80, 77, 74, 75] | direction [changes], status [False]
 🗙	[99, 97, 94, 92, 89, 86, 83, 83] | direction [changes], status [False]
 🔻	[59, 57, 55, 53, 49] | direction [down], status [False]
 🔻	[77, 75, 74, 73, 67] | direction [down], status [False]
 🗙	[10, 8, 5, 4, 2, 4, 3, 1] | direction [changes], status [False]
 🗙	[37, 34, 33, 36, 35, 34, 36] | direction [changes], status [False]
 🗙	[55, 52, 51, 53, 53] | direction [changes], status [False]
 🗙	[30, 27, 24, 23, 24, 23, 21, 17] | direction [changes], status [False]
 🗙	[84, 83, 86, 85, 78] | direction [changes], status [False]
 🗙	[36, 34, 33, 33, 31] | direction [changes], status [False]
 🗙	[19, 16, 16, 14, 13, 14] | direction [changes], status [False]
 🗙	[80, 78, 76, 76, 76] | direction [changes], status [False]
