Vector(row=43, col=79, direction='up')
Vector(row=56, col=91, direction='left')
Vector(row=56, col=90, direction='left')
Vector(row=56, col=89, direction='left')
Vector(row=56, col=88, direction='left')
Vector(row=56, col=87, direction='left')
Vector(row=56, col=86, direction='left')
Vector(row=56, col=85, direction='left')
Vector(row=56, col=84, direction='left')
Vector(row=56, col=83, direction='left')
Vector(row=56, col=82, direction='left')
Vector(row=56, col=81, direction='left')
Vector(row=56, col=80, direction='left')
Vector(row=56, col=79, direction='left')
Vector(row=56, col=78, direction='left')
Vector(row=56, col=77, direction='left')
Vector(row=56, col=76, direction='left')
Vector(row=56, col=75, direction='left')
Vector(row=56, col=74, direction='left')
Vector(row=56, col=73, direction='left')
Vector(row=56, col=72, direction='left')
Vector(row=56, col=71, direction='left')
Vector(row=56, col=70, direction='left')
Vector(row=56, col=69, direction='left')
Vector(row=56, col=68, direction='left')
Vector(row=56, col=67, direction='left')
Vector(row=56, col=66, direction='left')
Vector(row=56, col=65, direction='left')
Vector(row=56, col=64, direction='left')
Vector(row=56, col=63, direction='left')
Vector(row=56, col=62, direction='left')
Vector(row=56, col=61, direction='left')
Vector(row=56, col=60, direction='left')
Vector(row=56, col=59, direction='left')
Vector(row=56, col=58, direction='left')
Vector(row=56, col=57, direction='left')
Vector(row=56, col=56, direction='left')
Vector(row=56, col=55, direction='left')
Vector(row=56, col=54, direction='left')
Vector(row=56, col=53, direction='left')
Vector(row=56, col=52, direction='left')
Vector(row=56, col=51, direction='left')
Vector(row=56, col=50, direction='left')
Vector(row=56, col=49, direction='left')
Vector(row=56, col=49, direction='up')
Vector(row=55, col=49, direction='up')
Vector(row=54, col=49, direction='up')
Vector(row=53, col=49, direction='up')
Vector(row=52, col=49, direction='up')
Vector(row=51, col=49, direction='up')
Vector(row=50, col=49, direction='up')
Vector(row=49, col=49, direction='up')
Vector(row=48, col=49, direction='up')
Vector(row=47, col=49, direction='up')
Vector(row=46, col=49, direction='up')
Vector(row=45, col=49, direction='up')
Vector(row=44, col=49, direction='up')
Vector(row=43, col=49, direction='up')
Vector(row=42, col=49, direction='up')
Vector(row=41, col=49, direction='up')
Vector(row=40, col=49, direction='up')
Vector(row=39, col=49, direction='up')
Vector(row=38, col=49, direction='up')
Vector(row=37, col=49, direction='up')
Vector(row=36, col=49, direction='up')
Vector(row=35, col=49, direction='up')
Vector(row=34, col=49, direction='up')
Vector(row=33, col=49, direction='up')
Vector(row=32, col=49, direction='up')
Vector(row=31, col=49, direction='up')
Vector(row=30, col=49, direction='up')
Vector(row=29, col=49, direction='up')
Vector(row=28, col=49, direction='up')
Vector(row=27, col=49, direction='up')
Vector(row=26, col=49, direction='up')
Vector(row=25, col=49, direction='up')
Vector(row=24, col=49, direction='up')
Vector(row=24, col=49, direction='right')
Vector(row=24, col=50, direction='right')
Vector(row=24, col=51, direction='right')
Vector(row=24, col=52, direction='right')
Vector(row=24, col=53, direction='right')
Vector(row=24, col=54, direction='right')
Vector(row=24, col=55, direction='right')
Vector(row=24, col=56, direction='right')
Vector(row=24, col=57, direction='right')
Vector(row=24, col=58, direction='right')
Vector(row=24, col=59, direction='right')
Vector(row=24, col=60, direction='right')
Vector(row=24, col=61, direction='right')
Vector(row=24, col=62, direction='right')
Vector(row=24, col=63, direction='right')
Vector(row=24, col=64, direction='right')
Vector(row=24, col=65, direction='right')
Vector(row=24, col=66, direction='right')
Vector(row=24, col=67, direction='right')
Vector(row=24, col=68, direction='right')
Vector(row=24, col=69, direction='right')
Vector(row=24, col=70, direction='right')
Vector(row=24, col=71, direction='right')
Vector(row=24, col=72, direction='right')
Vector(row=24, col=73, direction='right')
Vector(row=24, col=74, direction='right')
Vector(row=24, col=75, direction='right')
Vector(row=24, col=76, direction='right')
Vector(row=24, col=77, direction='right')
Vector(row=24, col=78, direction='right')
Vector(row=24, col=79, direction='right')
Vector(row=24, col=80, direction='right')
Vector(row=24, col=81, direction='right')
Vector(row=24, col=82, direction='right')
Vector(row=24, col=83, direction='right')
Vector(row=24, col=84, direction='right')
Vector(row=24, col=85, direction='right')
Vector(row=24, col=86, direction='right')
Vector(row=24, col=87, direction='right')
Vector(row=24, col=87, direction='down')
Vector(row=25, col=87, direction='down')
Vector(row=26, col=87, direction='down')
Vector(row=27, col=87, direction='down')
Vector(row=28, col=87, direction='down')
Vector(row=29, col=87, direction='down')
Vector(row=30, col=87, direction='down')
Vector(row=31, col=87, direction='down')
Vector(row=32, col=87, direction='down')
Vector(row=33, col=87, direction='down')
Vector(row=34, col=87, direction='down')
Vector(row=35, col=87, direction='down')
Vector(row=36, col=87, direction='down')
Vector(row=37, col=87, direction='down')
Vector(row=38, col=87, direction='down')
Vector(row=39, col=87, direction='down')
Vector(row=40, col=87, direction='down')
Vector(row=41, col=87, direction='down')
Vector(row=42, col=87, direction='down')
Vector(row=43, col=87, direction='down')
Vector(row=44, col=87, direction='down')
Vector(row=45, col=87, direction='down')
Vector(row=46, col=87, direction='down')
Vector(row=47, col=87, direction='down')
Vector(row=48, col=87, direction='down')
Vector(row=49, col=87, direction='down')
Vector(row=50, col=87, direction='down')
Vector(row=51, col=87, direction='down')
Vector(row=52, col=87, direction='down')
Vector(row=53, col=87, direction='down')
Vector(row=54, col=87, direction='down')
Vector(row=55, col=87, direction='down')
Vector(row=56, col=87, direction='down')
Vector(row=57, col=87, direction='down')
Vector(row=58, col=87, direction='down')
Vector(row=59, col=87, direction='down')
Vector(row=60, col=87, direction='down')
Vector(row=61, col=87, direction='down')
Vector(row=62, col=87, direction='down')
Vector(row=63, col=87, direction='down')
Vector(row=64, col=87, direction='down')
Vector(row=65, col=87, direction='down')
Vector(row=66, col=87, direction='down')
Vector(row=67, col=87, direction='down')
Vector(row=68, col=87, direction='down')
Vector(row=69, col=87, direction='down')
Vector(row=70, col=87, direction='down')
Vector(row=71, col=87, direction='down')
Vector(row=72, col=87, direction='down')
Vector(row=72, col=87, direction='left')
Vector(row=72, col=86, direction='left')
Vector(row=72, col=85, direction='left')
Vector(row=72, col=84, direction='left')
Vector(row=72, col=83, direction='left')
Vector(row=72, col=82, direction='left')
Vector(row=72, col=81, direction='left')
Vector(row=72, col=80, direction='left')
Vector(row=72, col=79, direction='left')
Vector(row=72, col=78, direction='left')
Vector(row=72, col=77, direction='left')
Vector(row=72, col=76, direction='left')
Vector(row=72, col=75, direction='left')
Vector(row=72, col=74, direction='left')
Vector(row=72, col=73, direction='left')
Vector(row=72, col=72, direction='left')
Vector(row=72, col=71, direction='left')
Vector(row=72, col=70, direction='left')
Vector(row=72, col=69, direction='left')
Vector(row=72, col=68, direction='left')
Vector(row=72, col=67, direction='left')
Vector(row=72, col=66, direction='left')
Vector(row=72, col=65, direction='left')
Vector(row=72, col=64, direction='left')
Vector(row=72, col=63, direction='left')
Vector(row=72, col=62, direction='left')
Vector(row=72, col=61, direction='left')
Vector(row=72, col=60, direction='left')
Vector(row=72, col=59, direction='left')
Vector(row=72, col=58, direction='left')
Vector(row=72, col=57, direction='left')
Vector(row=72, col=56, direction='left')
Vector(row=72, col=55, direction='left')
Vector(row=72, col=54, direction='left')
Vector(row=72, col=53, direction='left')
Vector(row=72, col=52, direction='left')
Vector(row=72, col=51, direction='left')
Vector(row=72, col=50, direction='left')
Vector(row=72, col=49, direction='left')
Vector(row=72, col=48, direction='left')
Vector(row=72, col=47, direction='left')
Vector(row=72, col=46, direction='left')
Vector(row=72, col=45, direction='left')
Vector(row=72, col=44, direction='left')
Vector(row=72, col=43, direction='left')
Vector(row=72, col=42, direction='left')
Vector(row=72, col=41, direction='left')
Vector(row=72, col=40, direction='left')
Vector(row=72, col=40, direction='up')
Vector(row=71, col=40, direction='up')
Vector(row=70, col=40, direction='up')
Vector(row=69, col=40, direction='up')
Vector(row=68, col=40, direction='up')
Vector(row=67, col=40, direction='up')
Vector(row=66, col=40, direction='up')
Vector(row=65, col=40, direction='up')
Vector(row=64, col=40, direction='up')
Vector(row=63, col=40, direction='up')
Vector(row=62, col=40, direction='up')
Vector(row=61, col=40, direction='up')
Vector(row=60, col=40, direction='up')
Vector(row=59, col=40, direction='up')
Vector(row=58, col=40, direction='up')
Vector(row=57, col=40, direction='up')
Vector(row=56, col=40, direction='up')
Vector(row=55, col=40, direction='up')
Vector(row=54, col=40, direction='up')
Vector(row=53, col=40, direction='up')
Vector(row=52, col=40, direction='up')
Vector(row=51, col=40, direction='up')
Vector(row=50, col=40, direction='up')
Vector(row=49, col=40, direction='up')
Vector(row=48, col=40, direction='up')
Vector(row=47, col=40, direction='up')
Vector(row=46, col=40, direction='up')
Vector(row=45, col=40, direction='up')
Vector(row=44, col=40, direction='up')
Vector(row=43, col=40, direction='up')
Vector(row=42, col=40, direction='up')
Vector(row=41, col=40, direction='up')
Vector(row=40, col=40, direction='up')
Vector(row=39, col=40, direction='up')
Vector(row=38, col=40, direction='up')
Vector(row=37, col=40, direction='up')
Vector(row=36, col=40, direction='up')
Vector(row=35, col=40, direction='up')
Vector(row=34, col=40, direction='up')
Vector(row=33, col=40, direction='up')
Vector(row=32, col=40, direction='up')
Vector(row=31, col=40, direction='up')
Vector(row=30, col=40, direction='up')
Vector(row=29, col=40, direction='up')
Vector(row=28, col=40, direction='up')
Vector(row=27, col=40, direction='up')
Vector(row=26, col=40, direction='up')
Vector(row=25, col=40, direction='up')
Vector(row=24, col=40, direction='up')
Vector(row=23, col=40, direction='up')
Vector(row=22, col=40, direction='up')
Vector(row=21, col=40, direction='up')
Vector(row=20, col=40, direction='up')
Vector(row=19, col=40, direction='up')
Vector(row=18, col=40, direction='up')
Vector(row=17, col=40, direction='up')
Vector(row=16, col=40, direction='up')
Vector(row=15, col=40, direction='up')
Vector(row=15, col=40, direction='right')
Vector(row=15, col=41, direction='right')
Vector(row=15, col=42, direction='right')
Vector(row=15, col=43, direction='right')
Vector(row=15, col=44, direction='right')
Vector(row=15, col=45, direction='right')
Vector(row=15, col=46, direction='right')
Vector(row=15, col=47, direction='right')
Vector(row=15, col=48, direction='right')
Vector(row=15, col=49, direction='right')
Vector(row=15, col=50, direction='right')
Vector(row=15, col=51, direction='right')
Vector(row=15, col=52, direction='right')
Vector(row=15, col=53, direction='right')
Vector(row=15, col=54, direction='right')
Vector(row=15, col=55, direction='right')
Vector(row=15, col=56, direction='right')
Vector(row=15, col=57, direction='right')
Vector(row=15, col=58, direction='right')
Vector(row=15, col=59, direction='right')
Vector(row=15, col=60, direction='right')
Vector(row=15, col=61, direction='right')
Vector(row=15, col=62, direction='right')
Vector(row=15, col=63, direction='right')
Vector(row=15, col=63, direction='down')
Vector(row=16, col=63, direction='down')
Vector(row=17, col=63, direction='down')
Vector(row=18, col=63, direction='down')
Vector(row=19, col=63, direction='down')
Vector(row=20, col=63, direction='down')
Vector(row=21, col=63, direction='down')
Vector(row=22, col=63, direction='down')
Vector(row=23, col=63, direction='down')
Vector(row=24, col=63, direction='down')
Vector(row=25, col=63, direction='down')
Vector(row=26, col=63, direction='down')
Vector(row=27, col=63, direction='down')
Vector(row=28, col=63, direction='down')
Vector(row=29, col=63, direction='down')
Vector(row=30, col=63, direction='down')
Vector(row=31, col=63, direction='down')
Vector(row=32, col=63, direction='down')
Vector(row=33, col=63, direction='down')
Vector(row=34, col=63, direction='down')
Vector(row=35, col=63, direction='down')
Vector(row=36, col=63, direction='down')
Vector(row=37, col=63, direction='down')
Vector(row=38, col=63, direction='down')
Vector(row=39, col=63, direction='down')
Vector(row=40, col=63, direction='down')
Vector(row=41, col=63, direction='down')
Vector(row=42, col=63, direction='down')
Vector(row=43, col=63, direction='down')
Vector(row=44, col=63, direction='down')
Vector(row=45, col=63, direction='down')
Vector(row=46, col=63, direction='down')
Vector(row=47, col=63, direction='down')
Vector(row=48, col=63, direction='down')
Vector(row=49, col=63, direction='down')
Vector(row=50, col=63, direction='down')
Vector(row=51, col=63, direction='down')
Vector(row=52, col=63, direction='down')
Vector(row=53, col=63, direction='down')
Vector(row=54, col=63, direction='down')
Vector(row=55, col=63, direction='down')
Vector(row=56, col=63, direction='down')
Vector(row=57, col=63, direction='down')
Vector(row=58, col=63, direction='down')
Vector(row=59, col=63, direction='down')
Vector(row=60, col=63, direction='down')
Vector(row=61, col=63, direction='down')
Vector(row=62, col=63, direction='down')
Vector(row=63, col=63, direction='down')
Vector(row=64, col=63, direction='down')
Vector(row=65, col=63, direction='down')
Vector(row=66, col=63, direction='down')
Vector(row=67, col=63, direction='down')
Vector(row=68, col=63, direction='down')
Vector(row=69, col=63, direction='down')
Vector(row=70, col=63, direction='down')
Vector(row=71, col=63, direction='down')
Vector(row=72, col=63, direction='down')
Vector(row=73, col=63, direction='down')
Vector(row=74, col=63, direction='down')
Vector(row=75, col=63, direction='down')
Vector(row=76, col=63, direction='down')
Vector(row=77, col=63, direction='down')
Vector(row=78, col=63, direction='down')
Vector(row=79, col=63, direction='down')
Vector(row=80, col=63, direction='down')
Vector(row=81, col=63, direction='down')
Vector(row=82, col=63, direction='down')
Vector(row=83, col=63, direction='down')
Vector(row=84, col=63, direction='down')
Vector(row=85, col=63, direction='down')
Vector(row=86, col=63, direction='down')
Vector(row=87, col=63, direction='down')
Vector(row=88, col=63, direction='down')
Vector(row=89, col=63, direction='down')
Vector(row=90, col=63, direction='down')
Vector(row=90, col=63, direction='left')
Vector(row=90, col=62, direction='left')
Vector(row=90, col=61, direction='left')
Vector(row=90, col=60, direction='left')
Vector(row=90, col=59, direction='left')
Vector(row=90, col=58, direction='left')
Vector(row=90, col=57, direction='left')
Vector(row=90, col=56, direction='left')
Vector(row=90, col=55, direction='left')
Vector(row=90, col=54, direction='left')
Vector(row=90, col=53, direction='left')
Vector(row=90, col=52, direction='left')
Vector(row=90, col=51, direction='left')
Vector(row=90, col=50, direction='left')
Vector(row=90, col=49, direction='left')
Vector(row=90, col=48, direction='left')
Vector(row=90, col=47, direction='left')
Vector(row=90, col=46, direction='left')
Vector(row=90, col=45, direction='left')
Vector(row=90, col=44, direction='left')
Vector(row=90, col=43, direction='left')
Vector(row=90, col=42, direction='left')
Vector(row=90, col=41, direction='left')
Vector(row=90, col=40, direction='left')
Vector(row=90, col=39, direction='left')
Vector(row=90, col=38, direction='left')
Vector(row=90, col=37, direction='left')
Vector(row=90, col=36, direction='left')
Vector(row=90, col=35, direction='left')
Vector(row=90, col=34, direction='left')
Vector(row=90, col=33, direction='left')
Vector(row=90, col=32, direction='left')
Vector(row=90, col=31, direction='left')
Vector(row=90, col=30, direction='left')
Vector(row=90, col=29, direction='left')
Vector(row=90, col=29, direction='up')
Vector(row=89, col=29, direction='up')
Vector(row=88, col=29, direction='up')
Vector(row=87, col=29, direction='up')
Vector(row=86, col=29, direction='up')
Vector(row=85, col=29, direction='up')
Vector(row=84, col=29, direction='up')
Vector(row=83, col=29, direction='up')
Vector(row=82, col=29, direction='up')
Vector(row=81, col=29, direction='up')
Vector(row=80, col=29, direction='up')
Vector(row=79, col=29, direction='up')
Vector(row=78, col=29, direction='up')
Vector(row=77, col=29, direction='up')
Vector(row=76, col=29, direction='up')
Vector(row=75, col=29, direction='up')
Vector(row=74, col=29, direction='up')
Vector(row=73, col=29, direction='up')
Vector(row=72, col=29, direction='up')
Vector(row=71, col=29, direction='up')
Vector(row=70, col=29, direction='up')
Vector(row=69, col=29, direction='up')
Vector(row=68, col=29, direction='up')
Vector(row=67, col=29, direction='up')
Vector(row=66, col=29, direction='up')
Vector(row=65, col=29, direction='up')
Vector(row=64, col=29, direction='up')
Vector(row=63, col=29, direction='up')
Vector(row=62, col=29, direction='up')
Vector(row=61, col=29, direction='up')
Vector(row=60, col=29, direction='up')
Vector(row=59, col=29, direction='up')
Vector(row=58, col=29, direction='up')
Vector(row=57, col=29, direction='up')
Vector(row=56, col=29, direction='up')
Vector(row=55, col=29, direction='up')
Vector(row=54, col=29, direction='up')
Vector(row=53, col=29, direction='up')
Vector(row=52, col=29, direction='up')
Vector(row=51, col=29, direction='up')
Vector(row=50, col=29, direction='up')
Vector(row=49, col=29, direction='up')
Vector(row=48, col=29, direction='up')
Vector(row=47, col=29, direction='up')
Vector(row=46, col=29, direction='up')
Vector(row=45, col=29, direction='up')
Vector(row=44, col=29, direction='up')
Vector(row=43, col=29, direction='up')
Vector(row=42, col=29, direction='up')
Vector(row=41, col=29, direction='up')
Vector(row=40, col=29, direction='up')
Vector(row=39, col=29, direction='up')
Vector(row=38, col=29, direction='up')
Vector(row=37, col=29, direction='up')
Vector(row=36, col=29, direction='up')
Vector(row=35, col=29, direction='up')
Vector(row=34, col=29, direction='up')
Vector(row=33, col=29, direction='up')
Vector(row=32, col=29, direction='up')
Vector(row=32, col=29, direction='right')
Vector(row=32, col=30, direction='right')
Vector(row=32, col=31, direction='right')
Vector(row=32, col=32, direction='right')
Vector(row=32, col=33, direction='right')
Vector(row=32, col=34, direction='right')
Vector(row=32, col=35, direction='right')
Vector(row=32, col=36, direction='right')
Vector(row=32, col=37, direction='right')
Vector(row=32, col=38, direction='right')
Vector(row=32, col=39, direction='right')
Vector(row=32, col=40, direction='right')
Vector(row=32, col=41, direction='right')
Vector(row=32, col=42, direction='right')
Vector(row=32, col=43, direction='right')
Vector(row=32, col=44, direction='right')
Vector(row=32, col=45, direction='right')
Vector(row=32, col=46, direction='right')
Vector(row=32, col=47, direction='right')
Vector(row=32, col=48, direction='right')
Vector(row=32, col=49, direction='right')
Vector(row=32, col=50, direction='right')
Vector(row=32, col=51, direction='right')
Vector(row=32, col=52, direction='right')
Vector(row=32, col=53, direction='right')
Vector(row=32, col=54, direction='right')
Vector(row=32, col=55, direction='right')
Vector(row=32, col=56, direction='right')
Vector(row=32, col=57, direction='right')
Vector(row=32, col=58, direction='right')
Vector(row=32, col=59, direction='right')
Vector(row=32, col=60, direction='right')
Vector(row=32, col=61, direction='right')
Vector(row=32, col=62, direction='right')
Vector(row=32, col=63, direction='right')
Vector(row=32, col=64, direction='right')
Vector(row=32, col=65, direction='right')
Vector(row=32, col=66, direction='right')
Vector(row=32, col=67, direction='right')
Vector(row=32, col=68, direction='right')
Vector(row=32, col=69, direction='right')
Vector(row=32, col=70, direction='right')
Vector(row=32, col=71, direction='right')
Vector(row=32, col=72, direction='right')
Vector(row=32, col=73, direction='right')
Vector(row=32, col=74, direction='right')
Vector(row=32, col=75, direction='right')
Vector(row=32, col=76, direction='right')
Vector(row=32, col=77, direction='right')
Vector(row=32, col=78, direction='right')
Vector(row=32, col=79, direction='right')
Vector(row=32, col=80, direction='right')
Vector(row=32, col=80, direction='down')
Vector(row=33, col=80, direction='down')
Vector(row=34, col=80, direction='down')
Vector(row=35, col=80, direction='down')
Vector(row=36, col=80, direction='down')
Vector(row=37, col=80, direction='down')
Vector(row=38, col=80, direction='down')
Vector(row=39, col=80, direction='down')
Vector(row=40, col=80, direction='down')
Vector(row=41, col=80, direction='down')
Vector(row=42, col=80, direction='down')
Vector(row=43, col=80, direction='down')
Vector(row=44, col=80, direction='down')
Vector(row=45, col=80, direction='down')
Vector(row=46, col=80, direction='down')
Vector(row=47, col=80, direction='down')
Vector(row=48, col=80, direction='down')
Vector(row=49, col=80, direction='down')
Vector(row=50, col=80, direction='down')
Vector(row=51, col=80, direction='down')
Vector(row=52, col=80, direction='down')
Vector(row=53, col=80, direction='down')
Vector(row=54, col=80, direction='down')
Vector(row=55, col=80, direction='down')
Vector(row=56, col=80, direction='down')
Vector(row=57, col=80, direction='down')
Vector(row=58, col=80, direction='down')
Vector(row=59, col=80, direction='down')
Vector(row=60, col=80, direction='down')
Vector(row=61, col=80, direction='down')
Vector(row=62, col=80, direction='down')
Vector(row=63, col=80, direction='down')
Vector(row=64, col=80, direction='down')
Vector(row=65, col=80, direction='down')
Vector(row=66, col=80, direction='down')
Vector(row=67, col=80, direction='down')
Vector(row=68, col=80, direction='down')
Vector(row=69, col=80, direction='down')
Vector(row=70, col=80, direction='down')
Vector(row=71, col=80, direction='down')
Vector(row=72, col=80, direction='down')
Vector(row=73, col=80, direction='down')
