match | center (  1,   1) | [["M", "M", "S"], ["M", "A", "S"], ["M", "M", "S"]]
match | center (  2, 120) | [["S", "A", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center (  2, 126) | [["M", "A", "S"], ["S", "A", "X"], ["M", "M", "S"]]
match | center (  2, 128) | [["S", "A", "M"], ["X", "A", "X"], ["S", "S", "M"]]
match | center (  2, 131) | [["M", "A", "S"], ["S", "A", "M"], ["M", "A", "S"]]
match | center (  2, 138) | [["M", "M", "S"], ["M", "A", "A"], ["M", "S", "S"]]
match | center (  3,   6) | [["S", "M", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center (  3,  25) | [["S", "M", "M"], ["X", "A", "X"], ["S", "M", "M"]]
match | center (  3,  35) | [["S", "X", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center (  3,  55) | [["S", "A", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center (  3,  57) | [["M", "X", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center (  3,  61) | [["M", "M", "M"], ["S", "A", "M"], ["S", "M", "S"]]
match | center (  3,  64) | [["S", "A", "M"], ["M", "A", "M"], ["S", "S", "M"]]
match | center (  3, 111) | [["M", "X", "M"], ["A", "A", "M"], ["S", "X", "S"]]
match | center (  3, 120) | [["S", "A", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center (  3, 123) | [["M", "S", "M"], ["A", "A", "A"], ["S", "X", "S"]]
match | center (  3, 131) | [["S", "A", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center (  3, 136) | [["S", "X", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center (  4,   6) | [["S", "A", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center (  4,   8) | [["S", "A", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center (  4,  30) | [["S", "A", "M"], ["M", "A", "M"], ["S", "M", "M"]]
match | center (  4,  35) | [["S", "A", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center (  4,  41) | [["S", "S", "M"], ["M", "A", "X"], ["S", "M", "M"]]
match | center (  4,  45) | [["M", "X", "M"], ["M", "A", "X"], ["S", "M", "S"]]
match | center (  4,  48) | [["S", "S", "S"], ["X", "A", "A"], ["M", "M", "M"]]
match | center (  4,  49) | [["S", "S", "S"], ["A", "A", "X"], ["M", "M", "M"]]
match | center (  4,  57) | [["S", "A", "S"], ["M", "A", "S"], ["M", "M", "M"]]
match | center (  4,  59) | [["S", "A", "S"], ["S", "A", "S"], ["M", "M", "M"]]
match | center (  4,  67) | [["S", "M", "M"], ["A", "A", "X"], ["S", "M", "M"]]
match | center (  4,  72) | [["M", "M", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center (  4,  85) | [["S", "M", "M"], ["X", "A", "X"], ["S", "M", "M"]]
match | center (  4,  92) | [["M", "S", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center (  4,  95) | [["M", "A", "S"], ["M", "A", "M"], ["M", "X", "S"]]
match | center (  4,  97) | [["S", "X", "M"], ["M", "A", "X"], ["S", "A", "M"]]
match | center (  4, 105) | [["M", "S", "S"], ["A", "A", "X"], ["M", "M", "S"]]
match | center (  4, 120) | [["S", "A", "M"], ["S", "A", "M"], ["S", "M", "M"]]
match | center (  4, 128) | [["S", "S", "M"], ["X", "A", "A"], ["S", "M", "M"]]
match | center (  4, 131) | [["M", "A", "S"], ["S", "A", "M"], ["M", "X", "S"]]
match | center (  5,  25) | [["S", "M", "M"], ["S", "A", "M"], ["S", "M", "M"]]
match | center (  5,  37) | [["M", "X", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center (  5,  63) | [["S", "S", "S"], ["X", "A", "M"], ["M", "X", "M"]]
match | center (  5,  77) | [["M", "X", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center (  5, 109) | [["M", "M", "S"], ["X", "A", "X"], ["M", "M", "S"]]
match | center (  5, 123) | [["S", "X", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center (  6,  23) | [["S", "X", "S"], ["X", "A", "S"], ["M", "A", "M"]]
match | center (  6,  37) | [["M", "A", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center (  6,  41) | [["S", "M", "M"], ["A", "A", "M"], ["S", "A", "M"]]
match | center (  6,  46) | [["M", "S", "M"], ["M", "A", "X"], ["S", "M", "S"]]
match | center (  6,  54) | [["M", "M", "S"], ["A", "A", "X"], ["M", "S", "S"]]
match | center (  6,  67) | [["S", "M", "M"], ["M", "A", "A"], ["S", "A", "M"]]
match | center (  6,  79) | [["S", "X", "M"], ["S", "A", "X"], ["S", "M", "M"]]
match | center (  6,  86) | [["M", "M", "S"], ["S", "A", "X"], ["M", "M", "S"]]
match | center (  6,  88) | [["S", "X", "M"], ["X", "A", "M"], ["S", "A", "M"]]
match | center (  6,  93) | [["M", "S", "M"], ["X", "A", "M"], ["S", "A", "S"]]
match | center (  6, 120) | [["S", "M", "M"], ["S", "A", "A"], ["S", "M", "M"]]
match | center (  6, 133) | [["S", "X", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center (  6, 138) | [["M", "A", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center (  7,  26) | [["M", "M", "M"], ["A", "A", "S"], ["S", "X", "S"]]
match | center (  7,  35) | [["M", "X", "M"], ["X", "A", "S"], ["S", "A", "S"]]
match | center (  7,  44) | [["M", "A", "M"], ["S", "A", "S"], ["S", "A", "S"]]
match | center (  7,  61) | [["S", "X", "M"], ["A", "A", "M"], ["S", "A", "M"]]
match | center (  7,  74) | [["M", "X", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center (  7, 118) | [["S", "X", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center (  8,   2) | [["M", "S", "S"], ["A", "A", "A"], ["M", "S", "S"]]
match | center (  8,   3) | [["S", "S", "M"], ["A", "A", "M"], ["S", "S", "M"]]
match | center (  8,  20) | [["M", "X", "S"], ["M", "A", "X"], ["M", "A", "S"]]
match | center (  8,  28) | [["S", "X", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center (  8,  37) | [["S", "A", "S"], ["S", "A", "S"], ["M", "X", "M"]]
match | center (  8,  44) | [["S", "A", "S"], ["S", "A", "S"], ["M", "X", "M"]]
match | center (  8,  54) | [["M", "S", "S"], ["S", "A", "M"], ["M", "A", "S"]]
match | center (  8,  57) | [["S", "S", "S"], ["A", "A", "A"], ["M", "X", "M"]]
match | center (  8,  72) | [["M", "M", "S"], ["A", "A", "S"], ["M", "M", "S"]]
match | center (  8,  74) | [["S", "A", "M"], ["S", "A", "S"], ["S", "A", "M"]]
match | center (  8,  91) | [["S", "A", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center (  8, 109) | [["M", "X", "M"], ["S", "A", "X"], ["S", "X", "S"]]
match | center (  8, 114) | [["S", "A", "M"], ["M", "A", "S"], ["S", "X", "M"]]
match | center (  8, 118) | [["S", "A", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center (  8, 128) | [["M", "M", "S"], ["X", "A", "M"], ["M", "X", "S"]]
match | center (  8, 138) | [["M", "A", "S"], ["X", "A", "M"], ["M", "A", "S"]]
match | center (  9,  35) | [["S", "A", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center (  9,  54) | [["S", "A", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center (  9,  61) | [["S", "A", "M"], ["M", "A", "A"], ["S", "M", "M"]]
match | center (  9,  93) | [["S", "A", "M"], ["M", "A", "X"], ["S", "X", "M"]]
match | center (  9, 101) | [["M", "M", "M"], ["M", "A", "X"], ["S", "M", "S"]]
match | center (  9, 107) | [["M", "M", "S"], ["X", "A", "S"], ["M", "X", "S"]]
match | center (  9, 120) | [["M", "A", "M"], ["M", "A", "M"], ["S", "S", "S"]]
match | center (  9, 124) | [["S", "M", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 10,  14) | [["M", "S", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center ( 10,  20) | [["M", "A", "S"], ["M", "A", "A"], ["M", "A", "S"]]
match | center ( 10,  25) | [["M", "M", "M"], ["S", "A", "A"], ["S", "X", "S"]]
match | center ( 10,  35) | [["S", "A", "M"], ["M", "A", "M"], ["S", "M", "M"]]
match | center ( 10,  40) | [["M", "X", "S"], ["A", "A", "X"], ["M", "S", "S"]]
match | center ( 10,  42) | [["S", "A", "M"], ["X", "A", "X"], ["S", "M", "M"]]
match | center ( 10,  46) | [["M", "M", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 10,  50) | [["M", "S", "M"], ["A", "A", "A"], ["S", "X", "S"]]
match | center ( 10,  52) | [["M", "M", "M"], ["A", "A", "S"], ["S", "M", "S"]]
match | center ( 10,  68) | [["M", "S", "S"], ["S", "A", "M"], ["M", "A", "S"]]
match | center ( 10,  70) | [["S", "X", "M"], ["M", "A", "X"], ["S", "X", "M"]]
match | center ( 10,  79) | [["M", "M", "M"], ["S", "A", "A"], ["S", "M", "S"]]
match | center ( 10,  86) | [["M", "M", "S"], ["A", "A", "A"], ["M", "S", "S"]]
match | center ( 10,  96) | [["M", "A", "S"], ["M", "A", "M"], ["M", "X", "S"]]
match | center ( 10,  98) | [["S", "X", "M"], ["M", "A", "A"], ["S", "M", "M"]]
match | center ( 10, 111) | [["S", "X", "M"], ["S", "A", "A"], ["S", "M", "M"]]
match | center ( 10, 126) | [["M", "S", "M"], ["M", "A", "A"], ["S", "M", "S"]]
match | center ( 10, 130) | [["S", "X", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 11,  16) | [["M", "S", "S"], ["S", "A", "A"], ["M", "M", "S"]]
match | center ( 11,  17) | [["S", "S", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center ( 11,  29) | [["M", "M", "S"], ["S", "A", "X"], ["M", "A", "S"]]
match | center ( 11,  31) | [["S", "X", "M"], ["X", "A", "S"], ["S", "A", "M"]]
match | center ( 11,  68) | [["S", "A", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 11,  77) | [["M", "X", "S"], ["M", "A", "S"], ["M", "M", "S"]]
match | center ( 11, 101) | [["S", "M", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center ( 11, 102) | [["M", "S", "S"], ["A", "A", "M"], ["M", "M", "S"]]
match | center ( 11, 109) | [["S", "M", "S"], ["M", "A", "S"], ["M", "X", "M"]]
match | center ( 11, 119) | [["S", "S", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center ( 11, 120) | [["S", "S", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 11, 130) | [["S", "A", "M"], ["S", "A", "M"], ["S", "M", "M"]]
match | center ( 11, 132) | [["M", "X", "S"], ["M", "A", "A"], ["M", "S", "S"]]
match | center ( 12,  11) | [["M", "M", "M"], ["X", "A", "A"], ["S", "X", "S"]]
match | center ( 12,  37) | [["M", "A", "M"], ["M", "A", "X"], ["S", "A", "S"]]
match | center ( 12,  41) | [["S", "S", "M"], ["X", "A", "X"], ["S", "M", "M"]]
match | center ( 12,  43) | [["M", "M", "S"], ["X", "A", "X"], ["M", "X", "S"]]
match | center ( 12,  48) | [["S", "X", "S"], ["X", "A", "M"], ["M", "X", "M"]]
match | center ( 12,  50) | [["S", "X", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 12,  54) | [["S", "X", "S"], ["M", "A", "S"], ["M", "S", "M"]]
match | center ( 12,  57) | [["M", "X", "M"], ["A", "A", "M"], ["S", "X", "S"]]
match | center ( 12,  63) | [["S", "M", "S"], ["S", "A", "M"], ["M", "S", "M"]]
match | center ( 12,  82) | [["M", "A", "S"], ["X", "A", "M"], ["M", "M", "S"]]
match | center ( 12,  84) | [["S", "M", "M"], ["M", "A", "X"], ["S", "S", "M"]]
match | center ( 12, 107) | [["M", "S", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center ( 12, 111) | [["S", "M", "M"], ["M", "A", "A"], ["S", "S", "M"]]
match | center ( 12, 112) | [["M", "M", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 12, 138) | [["S", "M", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 13,   3) | [["S", "M", "S"], ["A", "A", "M"], ["M", "X", "M"]]
match | center ( 13,  16) | [["M", "M", "S"], ["S", "A", "A"], ["M", "X", "S"]]
match | center ( 13,  20) | [["M", "X", "M"], ["S", "A", "M"], ["S", "X", "S"]]
match | center ( 13,  70) | [["M", "X", "S"], ["M", "A", "M"], ["M", "X", "S"]]
match | center ( 13,  77) | [["M", "M", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 13,  92) | [["M", "S", "S"], ["A", "A", "X"], ["M", "M", "S"]]
match | center ( 13,  98) | [["M", "M", "S"], ["A", "A", "X"], ["M", "M", "S"]]
match | center ( 13, 100) | [["S", "M", "M"], ["X", "A", "S"], ["S", "A", "M"]]
match | center ( 13, 102) | [["M", "M", "S"], ["S", "A", "S"], ["M", "X", "S"]]
match | center ( 13, 116) | [["S", "A", "M"], ["M", "A", "X"], ["S", "A", "M"]]
match | center ( 13, 122) | [["M", "X", "M"], ["S", "A", "A"], ["S", "X", "S"]]
match | center ( 13, 130) | [["S", "M", "M"], ["M", "A", "M"], ["S", "M", "M"]]
match | center ( 13, 132) | [["M", "S", "S"], ["M", "A", "A"], ["M", "X", "S"]]
match | center ( 13, 134) | [["S", "M", "M"], ["A", "A", "M"], ["S", "A", "M"]]
match | center ( 14,  22) | [["M", "M", "S"], ["S", "A", "A"], ["M", "X", "S"]]
match | center ( 14,  24) | [["S", "M", "M"], ["A", "A", "X"], ["S", "S", "M"]]
match | center ( 14,  35) | [["M", "X", "S"], ["S", "A", "M"], ["M", "A", "S"]]
match | center ( 14,  39) | [["S", "X", "S"], ["S", "A", "A"], ["M", "X", "M"]]
match | center ( 14,  55) | [["S", "M", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center ( 14,  62) | [["M", "M", "S"], ["X", "A", "A"], ["M", "S", "S"]]
match | center ( 14,  63) | [["M", "S", "M"], ["A", "A", "X"], ["S", "S", "S"]]
match | center ( 14,  73) | [["M", "M", "S"], ["A", "A", "M"], ["M", "X", "S"]]
match | center ( 14,  77) | [["M", "A", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 14,  83) | [["M", "S", "S"], ["X", "A", "A"], ["M", "M", "S"]]
match | center ( 14,  86) | [["M", "M", "M"], ["X", "A", "A"], ["S", "X", "S"]]
match | center ( 14,  88) | [["M", "M", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center ( 14, 112) | [["S", "M", "S"], ["X", "A", "M"], ["M", "X", "M"]]
match | center ( 14, 128) | [["S", "X", "M"], ["X", "A", "S"], ["S", "M", "M"]]
match | center ( 15,   5) | [["M", "M", "M"], ["A", "A", "A"], ["S", "S", "S"]]
match | center ( 15,   9) | [["M", "M", "M"], ["M", "A", "X"], ["S", "A", "S"]]
match | center ( 15,  35) | [["S", "A", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 15,  45) | [["M", "A", "S"], ["M", "A", "M"], ["M", "X", "S"]]
match | center ( 15,  67) | [["S", "A", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 15,  75) | [["M", "X", "M"], ["S", "A", "M"], ["S", "X", "S"]]
match | center ( 15,  93) | [["M", "S", "M"], ["X", "A", "A"], ["S", "S", "S"]]
match | center ( 15,  95) | [["M", "S", "M"], ["A", "A", "A"], ["S", "S", "S"]]
match | center ( 15,  96) | [["S", "M", "M"], ["A", "A", "M"], ["S", "S", "M"]]
match | center ( 15, 130) | [["S", "M", "M"], ["M", "A", "A"], ["S", "M", "M"]]
match | center ( 15, 136) | [["M", "X", "M"], ["S", "A", "S"], ["S", "X", "S"]]
match | center ( 16,  35) | [["M", "A", "S"], ["S", "A", "M"], ["M", "M", "S"]]
match | center ( 16,  39) | [["M", "X", "M"], ["M", "A", "X"], ["S", "X", "S"]]
match | center ( 16,  57) | [["M", "S", "M"], ["A", "A", "M"], ["S", "X", "S"]]
match | center ( 16,  64) | [["S", "S", "M"], ["M", "A", "X"], ["S", "X", "M"]]
match | center ( 16,  67) | [["S", "A", "M"], ["M", "A", "M"], ["S", "M", "M"]]
match | center ( 16,  81) | [["M", "S", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 16,  84) | [["M", "S", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center ( 16, 104) | [["M", "X", "M"], ["X", "A", "M"], ["S", "S", "S"]]
match | center ( 16, 108) | [["S", "M", "S"], ["S", "A", "A"], ["M", "M", "M"]]
match | center ( 16, 119) | [["S", "A", "M"], ["S", "A", "M"], ["S", "M", "M"]]
match | center ( 16, 125) | [["M", "M", "S"], ["A", "A", "A"], ["M", "M", "S"]]
match | center ( 16, 127) | [["S", "S", "M"], ["A", "A", "X"], ["S", "X", "M"]]
match | center ( 16, 134) | [["M", "M", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center ( 17,   7) | [["S", "X", "S"], ["X", "A", "M"], ["M", "S", "M"]]
match | center ( 17,  27) | [["S", "X", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 17,  37) | [["M", "A", "M"], ["S", "A", "S"], ["S", "A", "S"]]
match | center ( 17,  48) | [["S", "X", "M"], ["M", "A", "A"], ["S", "M", "M"]]
match | center ( 17,  71) | [["S", "X", "S"], ["A", "A", "X"], ["M", "M", "M"]]
match | center ( 17,  73) | [["S", "A", "S"], ["X", "A", "M"], ["M", "A", "M"]]
match | center ( 17,  94) | [["S", "S", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 17, 117) | [["S", "X", "S"], ["X", "A", "S"], ["M", "A", "M"]]
match | center ( 17, 130) | [["S", "M", "M"], ["M", "A", "M"], ["S", "M", "M"]]
match | center ( 17, 134) | [["S", "A", "S"], ["M", "A", "S"], ["M", "X", "M"]]
match | center ( 18,  17) | [["M", "A", "M"], ["M", "A", "M"], ["S", "X", "S"]]
match | center ( 18,  20) | [["M", "M", "S"], ["X", "A", "A"], ["M", "M", "S"]]
match | center ( 18,  21) | [["M", "S", "S"], ["A", "A", "A"], ["M", "S", "S"]]
match | center ( 18,  22) | [["S", "S", "M"], ["A", "A", "A"], ["S", "S", "M"]]
match | center ( 18,  27) | [["M", "A", "S"], ["S", "A", "M"], ["M", "X", "S"]]
match | center ( 18,  31) | [["S", "A", "S"], ["S", "A", "M"], ["M", "X", "M"]]
match | center ( 18,  37) | [["S", "A", "S"], ["S", "A", "S"], ["M", "M", "M"]]
match | center ( 18,  39) | [["S", "X", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 18,  51) | [["M", "M", "S"], ["S", "A", "A"], ["M", "X", "S"]]
match | center ( 18,  64) | [["S", "X", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 18,  75) | [["M", "M", "S"], ["M", "A", "M"], ["M", "S", "S"]]
match | center ( 18,  77) | [["S", "X", "M"], ["M", "A", "M"], ["S", "M", "M"]]
match | center ( 18, 102) | [["M", "M", "S"], ["A", "A", "X"], ["M", "M", "S"]]
match | center ( 18, 105) | [["S", "S", "M"], ["X", "A", "X"], ["S", "S", "M"]]
match | center ( 18, 123) | [["M", "M", "M"], ["X", "A", "S"], ["S", "X", "S"]]
match | center ( 19,   8) | [["S", "M", "S"], ["A", "A", "X"], ["M", "X", "M"]]
match | center ( 19,  11) | [["M", "M", "M"], ["X", "A", "X"], ["S", "M", "S"]]
match | center ( 19,  39) | [["S", "A", "M"], ["M", "A", "M"], ["S", "M", "M"]]
match | center ( 19,  49) | [["M", "M", "S"], ["X", "A", "M"], ["M", "M", "S"]]
match | center ( 19,  62) | [["M", "M", "M"], ["S", "A", "S"], ["S", "A", "S"]]
match | center ( 19,  64) | [["M", "A", "M"], ["S", "A", "M"], ["S", "M", "S"]]
match | center ( 19,  93) | [["M", "M", "S"], ["M", "A", "A"], ["M", "M", "S"]]
match | center ( 19,  98) | [["S", "M", "S"], ["X", "A", "A"], ["M", "S", "M"]]
match | center ( 19, 113) | [["M", "S", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center ( 19, 115) | [["M", "M", "M"], ["M", "A", "M"], ["S", "X", "S"]]
match | center ( 19, 117) | [["M", "A", "M"], ["M", "A", "M"], ["S", "X", "S"]]
match | center ( 20,  17) | [["S", "X", "S"], ["M", "A", "M"], ["M", "S", "M"]]
match | center ( 20,  27) | [["M", "X", "S"], ["A", "A", "S"], ["M", "M", "S"]]
match | center ( 20,  29) | [["S", "M", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 20,  33) | [["M", "S", "M"], ["A", "A", "A"], ["S", "X", "S"]]
match | center ( 20,  55) | [["S", "A", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center ( 20,  62) | [["S", "A", "S"], ["S", "A", "S"], ["M", "M", "M"]]
match | center ( 20,  74) | [["M", "M", "S"], ["M", "A", "X"], ["M", "M", "S"]]
match | center ( 20,  76) | [["S", "S", "M"], ["X", "A", "X"], ["S", "X", "M"]]
match | center ( 20,  85) | [["M", "A", "M"], ["X", "A", "S"], ["S", "A", "S"]]
match | center ( 20,  87) | [["M", "M", "M"], ["S", "A", "A"], ["S", "X", "S"]]
match | center ( 20,  89) | [["M", "M", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 20,  91) | [["M", "S", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center ( 20, 104) | [["S", "S", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 20, 113) | [["M", "A", "M"], ["S", "A", "S"], ["S", "A", "S"]]
match | center ( 20, 136) | [["S", "A", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 21,  29) | [["S", "A", "M"], ["S", "A", "M"], ["S", "X", "M"]]
match | center ( 21,  47) | [["S", "M", "M"], ["A", "A", "S"], ["S", "M", "M"]]
match | center ( 21,  55) | [["M", "A", "S"], ["M", "A", "M"], ["M", "X", "S"]]
match | center ( 21,  57) | [["S", "X", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 21,  65) | [["M", "S", "S"], ["X", "A", "X"], ["M", "M", "S"]]
match | center ( 21,  67) | [["S", "S", "M"], ["X", "A", "A"], ["S", "X", "M"]]
match | center ( 21,  70) | [["S", "S", "M"], ["A", "A", "M"], ["S", "X", "M"]]
match | center ( 21,  80) | [["M", "S", "S"], ["M", "A", "X"], ["M", "A", "S"]]
match | center ( 21,  93) | [["M", "M", "S"], ["S", "A", "X"], ["M", "A", "S"]]
match | center ( 21,  95) | [["S", "X", "M"], ["X", "A", "X"], ["S", "M", "M"]]
match | center ( 21,  97) | [["M", "M", "S"], ["X", "A", "X"], ["M", "S", "S"]]
match | center ( 21, 123) | [["S", "M", "M"], ["M", "A", "X"], ["S", "S", "M"]]
match | center ( 22,  18) | [["S", "M", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 22,  21) | [["S", "M", "S"], ["X", "A", "M"], ["M", "A", "M"]]
match | center ( 22,  73) | [["S", "M", "M"], ["M", "A", "X"], ["S", "S", "M"]]
match | center ( 22,  76) | [["S", "X", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 22,  85) | [["S", "A", "S"], ["A", "A", "M"], ["M", "S", "M"]]
match | center ( 22,  87) | [["S", "X", "S"], ["M", "A", "X"], ["M", "A", "M"]]
match | center ( 22, 126) | [["M", "S", "S"], ["X", "A", "M"], ["M", "A", "S"]]
match | center ( 22, 133) | [["M", "M", "S"], ["A", "A", "A"], ["M", "X", "S"]]
match | center ( 23,   8) | [["S", "M", "M"], ["M", "A", "S"], ["S", "M", "M"]]
match | center ( 23,  29) | [["S", "X", "M"], ["S", "A", "S"], ["S", "A", "M"]]
match | center ( 23,  51) | [["M", "S", "M"], ["M", "A", "A"], ["S", "M", "S"]]
match | center ( 23,  52) | [["S", "M", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 23,  53) | [["M", "S", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 23,  63) | [["M", "M", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 23,  76) | [["M", "A", "S"], ["S", "A", "M"], ["M", "A", "S"]]
match | center ( 23,  80) | [["M", "A", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 23, 118) | [["M", "M", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 23, 120) | [["M", "M", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center ( 24,   4) | [["S", "M", "S"], ["X", "A", "A"], ["M", "X", "M"]]
match | center ( 24,  29) | [["S", "A", "S"], ["S", "A", "M"], ["M", "M", "M"]]
match | center ( 24,  31) | [["S", "A", "S"], ["M", "A", "X"], ["M", "X", "M"]]
match | center ( 24,  41) | [["S", "S", "M"], ["A", "A", "A"], ["S", "M", "M"]]
match | center ( 24,  65) | [["S", "M", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center ( 24, 101) | [["S", "X", "S"], ["X", "A", "S"], ["M", "A", "M"]]
match | center ( 24, 138) | [["M", "S", "S"], ["S", "A", "X"], ["M", "A", "S"]]
match | center ( 25,  11) | [["M", "M", "S"], ["M", "A", "S"], ["M", "A", "S"]]
